"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C7,C8,C11,C12,C4,C13,C16";"c_0805";8;"100nF";;;
2;"C5,C6";"C_ELCO_SMD";2;"10u";;;
3;"C9,C14";"C_ELCO_SMD";2;"10uF";;;
4;"L1";"Inductor_SMD1";1;"4u7H,1.2A";;;
5;"R1,R2,R9,R11";"r_0805";4;"1k5";;;
6;"R3";"r_0805";1;"2k";;;
7;"R4,R8";"r_0805";2;"2M";;;
8;"R5,R19,R20";"r_0805";3;"100k";;;
9;"R6,R7,R16,R17,R18";"r_0805";5;"10k";;;
10;"R10";"r_0805";1;"470E";;;
11;"R12,R13";"r_0805";2;"220k";;;
12;"R14,R21";"r_0805";2;"1k";;;
13;"SJ1";"ShortLink";1;"LINK1";;;
14;"SJ2";"ShortLink";1;"UVLO";;;
15;"SW1";"SW_PB_V_H";1;"ON_OFF";;;
16;"U1";"MCP73831";1;"MCP73831";;;
17;"C10";"C_ELCO_SMD";1;"22uF";;;
18;"C2";"C_ELCO_SMD";1;"100u,25V";;;
19;"C3";"c_0805";1;"2u2 Tant";;;
20;"C15,C17";"c_0805";2;"1uF";;;
21;"D1,D5,D9";"diode-DO214BA";3;"LSM115J";;;
22;"D2";"diode-DO214AA";1;"SMBJ5.0CA";;;
23;"D3";"led_0805";1;"DIS";;;
24;"D4";"led_0805";1;"CHG";;;
25;"D6";"led_0805";1;"BAT";;;
26;"D7";"led_0805";1;"EXT_ON";;;
27;"F1";"f_1206";1;"NANOSMDC110F";;;
28;"J2";"CONN_JST-2_SMD";1;"LiPo_JST";;;
29;"J4";"Header_3";1;"Auto_On";;;
30;"J6";"Header_2";1;"5V_EXT";;;
31;"J7";"Header_2";1;"5V_IN";;;
32;"J8";"Header_2";1;"VBAT";;;
33;"J9";"Header_2";1;"5V_BAT";;;
34;"J10";"Header_2";1;"5V_Pi";;;
35;"P1";"Header_GPIO";1;"RASPI_GPIO";;;
36;"P2";"JACK_ALIM";1;"V_IN";;;
37;"Q2";"SO8E";1;"IRF7319";;;
38;"R15";"r_0805";1;"150E";;;
39;"R22";"r_0805";1;"300k";;;
40;"SJ3";"ShortLink";1;"D0";;;
41;"SJ4";"ShortLink";1;"D1";;;
42;"TP1";"Breakout";1;"TP";;;
43;"J1";"USB_B_Micro";1;"MicroUSB_in";;;
44;"U4";"TPS61200_QFN10";1;"TPS61200";;;
45;"J3";"USB_A";1;"USB_A_out";;;
46;"U3";"TPS2115_SON";1;"TPS2115A";;;
47;"U5";"MAX17040_TDFN";1;"MAX17040";;;
48;"H1,H2";"vite_3mm";2;"MH";;;
49;"Q1";"SOT416_2SK3019";1;"2SK3019";;;
50;"J5";"Header_2";1;"5V_USB";;;
51;"J11";"Header2x2";1;"12V_Out";;;
52;"U2";"SOT223";1;"NCP1117ST50";;;
